ID,SubLayout,Subtype,FieldName,DataType
154,2,1,RECORD_ID,VARCHAR2
154,1,1,CLMNUM,VARCHAR2
154,2,2,EAOS_ID,VARCHAR2
154,1,2,EAMEEID,VARCHAR2
154,2,3,EA_ITF_RUN_ID,VARCHAR2
154,1,3,CLAIMLINENUMBER,VARCHAR2
154,1,4,CLMTYPE,VARCHAR2
154,2,4,RECORD_COUNT,NUMBER
154,1,5,MEMID,VARCHAR2
154,2,5,RECORD_SUMMATION,NUMBER
154,1,6,COVEREDINDIV,VARCHAR2
154,1,7,UMI_ID,VARCHAR2
154,1,8,RELFLAG,VARCHAR2
154,1,9,MEMFIRSTNAME,VARCHAR2
154,1,10,MEMLASTNAME,VARCHAR2
154,1,11,GENDER,VARCHAR2
154,1,12,DOB,DATE
154,1,13,FROMDATE,DATE
154,1        ,14     ,DATETO            ,DATE
154,1,15,SERVICEDATE,DATE
154,1,16,RCVDATE,DATE
154,1        ,17     ,DATEPAID          ,DATE
154,1,18,POSCODE,VARCHAR2
154,1,19,SPECCODE,VARCHAR2
154,1        ,20     ,DIAGNOSECODE      ,VARCHAR2
154,1        ,21     ,DIAGNOSECDQUALIF  ,VARCHAR2
154,1        ,22     ,FIRSTDIAGNOSECODE ,VARCHAR2
154,1        ,23     ,SECONDDIAGNOSECODE,VARCHAR2
154,1,24,THIRDDIAGCODE,VARCHAR2
154,1,25,FOURTHDIAGCODE,VARCHAR2
154,1,26,FIFTHDIAGCODE,VARCHAR2
154,1,27,SIXTHDIAGCODE,VARCHAR2
154,1,28,SEVENTHDIAGCODE,VARCHAR2
154,1,29,EIGHTHDIAGCODE,VARCHAR2
154,1,30,NINTHDIAGCODE,VARCHAR2
154,1,31,TENTHDIAGCODE,VARCHAR2
154,1,32,PROCCODE,VARCHAR2
154,1,33,REVCODE,VARCHAR2
154,1,34,DRGCODE,VARCHAR2
154,1,35,DRG_VERSION,VARCHAR2
154,1,36,MODIFIERCODE,VARCHAR2
154,1,37,ICD9PROCCODE1,VARCHAR2
154,1,38,ICD9PROCCODE2,VARCHAR2
154,1,39,ICD9PROCCODE3,VARCHAR2
154,1,40,ICD9PROCCODE4,VARCHAR2
154,1,41,ICD9PROCCODE5,VARCHAR2
154,1,42,ICD9PROCCODE6,VARCHAR2
154,1,43,IPDAYS,NUMBER
154,1,44,DISCHSTATUS,VARCHAR2
154,1,45,TYPEOFBILL,VARCHAR2
154,1,154,CLAIMSTATUS,VARCHAR2
154,1,47,ADJCODE,VARCHAR2
154,1,48,PROVID,VARCHAR2
154,1,49,PROVNAME,VARCHAR2
154,1,50,PROVNPI,VARCHAR2
154,1,51,PROVZIPCODE,VARCHAR2
154,1,52,NWKID,VARCHAR2
154,1,53,NWKNAME,VARCHAR2
154,1,54,INNWK,VARCHAR2
154,1,55,SERVICEUNITS,NUMBER
154,1,56,PAIDAMT,NUMBER
154,1,57,BILLEDAMT,NUMBER
154,1,58,ALLOWEDAMT,NUMBER
154,1,59,ENRPAIDAMT,NUMBER
154,1,60,COINSAMT,NUMBER
154,1,61,COPAYAMT,NUMBER
154,1,62,DEDUCTAMT,NUMBER
154,1,63,COBAMT,NUMBER
154,1,64,FILLER,VARCHAR2
