LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3718,1,1,CLAIMNUMBER,VARCHAR2,NA,20,290316,1,20,,,,,VARCHAR2,,
3718,1,2,CLAIMLINENUMBER,VARCHAR2,NA,3,290317,21,23,,,,,VARCHAR2,,
3718,1,3,CLAIMTYPECODE,VARCHAR2,NA,3,290318,24,26,,,,,VARCHAR2,,
3718,1,4,CLAIMTYPEDESC,VARCHAR2,NA,50,290319,27,76,,,,,VARCHAR2,,
3718,1,5,PROCTYPEFLAG,VARCHAR2,NA,5,290320,77,81,,,,,VARCHAR2,,
3718,1,6,BILLTYPECODE,VARCHAR2,NA,1,290321,82,82,,,,,VARCHAR2,,
3718,1,7,BILLTYPEDESC,VARCHAR2,NA,50,290322,83,132,,,,,VARCHAR2,,
3718,1,8,PROCCODE,VARCHAR2,NA,5,290323,133,137,,,,,VARCHAR2,,
3718,1,9,PROCDESC,VARCHAR2,NA,70,290324,138,207,,,,,VARCHAR2,,
3718,1,10,MODIFIERCODE,VARCHAR2,NA,2,290325,208,209,,,,,VARCHAR2,,
3718,1,11,DIAG1CODE,VARCHAR2,NA,6,290326,210,215,,,,,VARCHAR2,,
3718,1,12,DIAG1DESC,VARCHAR2,NA,120,290327,216,335,,,,,VARCHAR2,,
3718,1,13,DIAG2CODE,VARCHAR2,NA,6,290328,336,341,,,,,VARCHAR2,,
3718,1,14,DIAG2DESC,VARCHAR2,NA,120,290329,342,461,,,,,VARCHAR2,,
3718,1,15,DIAG3CODE,VARCHAR2,NA,6,290330,462,467,,,,,VARCHAR2,,
3718,1,16,DIAG3DESC,VARCHAR2,NA,120,290331,468,587,,,,,VARCHAR2,,
3718,1,17,DIAG4CODE,VARCHAR2,NA,6,290332,588,593,,,,,VARCHAR2,,
3718,1,18,DIAG4DESC,VARCHAR2,NA,120,290333,594,713,,,,,VARCHAR2,,
3718,1,19,SERVICEDATE,DATE,MM/DD/RR,8,290334,714,721,,,,,DATE,,
3718,1,20,DISCHARGEDATE,DATE,MM/DD/RR,8,290335,722,729,,,,,DATE,,
3718,1,21,CLAIMRECDATE,DATE,MM/DD/RR,8,290336,730,737,,,,,DATE,,
3718,1,22,CLAIMPAIDDATE,DATE,MM/DD/RR,8,290337,738,745,,,,,DATE,,
3718,1,23,SERVICEUNITTYPE,VARCHAR2,NA,10,290338,746,755,,,,,VARCHAR2,,
3718,1,24,SERVICEUNITQUANTITY,VARCHAR2,NA,5,290339,756,760,,,,,VARCHAR2,,
3718,1,25,BILLEDAMOUNT,NUMBER,NA,11,290340,761,771,,,,,NUMBER,,
3718,1,26,ALLOWEDAMOUNT,NUMBER,NA,11,290341,772,782,,,,,NUMBER,,
3718,1,27,NOTALLOWEDAMOUN,NUMBER,NA,11,290342,783,793,,,,,NUMBER,,
3718,1,28,COPAYAMOUNT,NUMBER,NA,11,290343,794,804,,,,,NUMBER,,
3718,1,29,DEDUCTIBLEAMOUNT,NUMBER,NA,11,290344,805,815,,,,,NUMBER,,
3718,1,30,PPOSAVINGSAMOUNT,NUMBER,NA,11,290345,816,826,,,,,NUMBER,,
3718,1,31,COINSURANCEAMOUNT,NUMBER,NA,11,290346,827,837,,,,,NUMBER,,
3718,1,32,PAIDAMOUNT,NUMBER,NA,11,290347,838,848,,,,,NUMBER,,
3718,1,33,ADJUDICATIONFLAG,VARCHAR2,NA,1,290348,849,849,,,,,VARCHAR2,,
3718,1,34,DIAG1CODEICD10,VARCHAR2,,7,290349,850,856,,,,,VARCHAR2,,
3718,1,35,DIAG2CODEICD10,VARCHAR2,,7,290350,857,863,,,,,VARCHAR2,,
3718,1,36,DIAG3CODEICD10,VARCHAR2,,7,290351,864,870,,,,,VARCHAR2,,
3718,1,37,DIAG4CODEICD10,VARCHAR2,,7,290352,871,877,,,,,VARCHAR2,,
3718,1,38,ICD10INDICATOR,VARCHAR2,,2,290353,878,879,,,,,VARCHAR2,,
