LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1196,1,2,PLANDESC,VARCHAR2,,50,215312,12,26,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,3,MEMBNO,VARCHAR2,,55,215313,27,81,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,4,GRPNUM,VARCHAR2,,11,215314,82,92,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,5,LSTNAM,VARCHAR2,,25,215315,93,117,Nimesh Pudasaini,,,,VARCHAR2,,12
1196,1,6,FSTNAM,VARCHAR2,,20,215316,118,137,Nimesh Pudasaini,,,,VARCHAR2,,10
1196,1,7,MIDNAM,VARCHAR2,,6,215317,138,143,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,8,ADRLN1,VARCHAR2,,40,215318,144,173,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,9,ADRLN2,VARCHAR2,,30,215319,174,203,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,10,CITYCD,VARCHAR2,,21,215320,204,224,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,11,STACOD,VARCHAR2,,7,215321,225,231,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,12,ZIPCOD,VARCHAR2,,15,215322,232,246,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,13,EFFDAT,DATE,MM-DD-YYYY,10,215323,247,256,Nimesh Pudasaini,,,,DATE,,4
1196,1,14,EXPDAT,DATE,MM-DD-YYYY,10,215324,257,266,Nimesh Pudasaini,,,,DATE,,19
1196,1,15,TIERCD,VARCHAR2,,9,215325,267,275,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,16,AREACD,VARCHAR2,,9,215326,276,284,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,17,HOMPH,VARCHAR2,,17,215327,285,301,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,18,SOCSEC,VARCHAR2,,17,215328,302,318,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,19,BTHDAT,DATE,MM-DD-YYYY,10,215329,319,328,Nimesh Pudasaini,,,,DATE,,3
1196,1,20,SEXCD,VARCHAR2,,6,215330,329,334,Nimesh Pudasaini,,,,VARCHAR2,,8
1196,1,21,CASEHD,VARCHAR2,,15,215331,335,349,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,22,CHLSTNAM,VARCHAR2,,25,215332,350,374,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,23,CHFSTNAM,VARCHAR2,,20,215333,375,394,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,24,CHADRLN1,VARCHAR2,,40,215334,395,424,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,25,CHADRLN2,VARCHAR2,,30,215335,425,454,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,26,CHCITY,VARCHAR2,,21,215336,455,475,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,27,CHSTATE,VARCHAR2,,7,215337,476,482,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,28,CHZIP,VARCHAR2,,15,215338,483,497,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,29,PROVNO,VARCHAR2,,20,215339,498,517,Nimesh Pudasaini,,,,VARCHAR2,,
1196,1,1,HMOID,VARCHAR2,,11,215311,1,11,Nimesh Pudasaini,,,,VARCHAR2,,
