LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
2570,1,8,MIDDLE_INITIAL,VARCHAR2,,1,186629,53,53,,,,,VARCHAR2,,
2570,1,9,GENDER,VARCHAR2,,1,186630,54,54,,,,,VARCHAR2,,
2570,1,10,DATE_OF_BIRTH,DATE,YYYYMMDD,8,186631,55,62,,,,,DATE,,
2570,1,11,DIVISION_CODE,VARCHAR2,,6,186632,63,68,,,,,VARCHAR2,,
2570,1,12,MEDICAL_INDICATOR,VARCHAR2,,1,186633,69,69,,,,,VARCHAR2,,
2570,1,13,MEDICAL_COVERAGE_BEGIN_DATE,DATE,YYYYMMDD,8,186634,70,77,,,,,DATE,,
2570,1,14,MEDICAL_COVERAGE_END_DATE,DATE,YYYYMMDD,8,186635,78,85,,,,,DATE,,
2570,1,15,MEDICAL_PRODUCT_CODE,VARCHAR2,,6,186636,86,91,,,,,VARCHAR2,,
2570,1,16,DENTAL_INDICATOR,VARCHAR2,,1,186637,92,92,,,,,VARCHAR2,,
2570,1,17,DENTAL_COVERAGE_BEGIN_DATE,DATE,YYYYMMDD,8,186638,93,100,,,,,DATE,,
2570,1,18,DENTAL_COVERAGE_END_DATE,DATE,YYYYMMDD,8,186639,101,108,,,,,DATE,,
2570,1,19,DENTAL_PRODUCT_CODE,VARCHAR2,,6,186640,109,114,,,,,VARCHAR2,,
2570,1,20,VISION_INDICATOR,VARCHAR2,,1,186641,115,115,,,,,VARCHAR2,,
2570,1,21,VISION_COVERAGE_BEGIN_DATE,DATE,YYYYMMDD,8,186642,116,123,,,,,DATE,,
2570,1,22,VISION_COVERAGE_END_DATE,DATE,YYYYMMDD,8,186643,124,131,,,,,DATE,,
2570,1,23,VISION_PRODUCT_CODE,VARCHAR2,,6,186644,132,137,,,,,VARCHAR2,,
2570,1,24,LTD_INDICATOR,VARCHAR2,,1,186645,138,138,,,,,VARCHAR2,,
2570,1,25,LTD_COVERAGE_BEGIN_DATE,DATE,YYYYMMDD,8,186646,139,146,,,,,DATE,,
2570,1,26,LTD_COVERAGE_END_DATE,DATE,YYYYMMDD,8,186647,147,154,,,,,DATE,,
2570,1,27,LTD_PRODUCT_CODE,VARCHAR2,,6,186648,155,160,,,,,VARCHAR2,,
2570,1,28,LIFE_INDICATOR,VARCHAR2,,1,186649,161,161,,,,,VARCHAR2,,
2570,1,29,LIFE_COVERAGE_BEGIN_DATE,DATE,YYYYMMDD,8,186650,162,169,,,,,DATE,,
2570,1,30,LIFE_COVERAGE_END_DATE,DATE,YYYYMMDD,8,186651,170,177,,,,,DATE,,
2570,1,31,LIFE_PRODUCT_CODE,VARCHAR2,,6,186652,178,183,,,,,VARCHAR2,,
2570,1,32,ADDRESS_LINE_1,VARCHAR2,,30,186653,184,213,,,,,VARCHAR2,,
2570,1,33,ADDRESS_LINE_2,VARCHAR2,,30,186654,214,243,,,,,VARCHAR2,,
2570,1,34,CITY,VARCHAR2,,25,186655,244,268,,,,,VARCHAR2,,
2570,1,35,STATE_CODE,VARCHAR2,,2,186656,269,270,,,,,VARCHAR2,,
2570,1,36,ZIP_CODE,VARCHAR2,,10,186657,271,280,,,,,VARCHAR2,,
2570,1,37,PHONE_NUMBER,VARCHAR2,,10,186658,281,290,,,,,VARCHAR2,,
2570,1,38,COUNTRY,VARCHAR2,,3,186659,291,293,,,,,VARCHAR2,,
2570,1,39,ALTERNATE_ID,VARCHAR2,,12,186660,294,305,,,,,VARCHAR2,,
2570,1,40,EMPLOYEE_TYPE,VARCHAR2,,1,186661,306,306,,,,,VARCHAR2,,
2570,1,41,EMPLOYEE_MEDICARE_FLAG,VARCHAR2,,1,186662,307,307,,,,,VARCHAR2,,
2570,1,42,MARITAL_STATUS,VARCHAR2,,1,186663,308,308,,,,,VARCHAR2,,
2570,1,43,SPOUSE_MEDICARE_FLAG,VARCHAR2,,1,186664,309,309,,,,,VARCHAR2,,
2570,1,44,EMPLOYEE_STATUS,VARCHAR2,,1,186665,310,310,,,,,VARCHAR2,,
2570,1,45,HIRE_DATE,DATE,YYYYMMDD,8,186666,311,318,,,,,DATE,,
2570,1,46,EFFECTIVE_DATE,DATE,YYYYMMDD,8,186667,319,326,,,,,DATE,,
2570,1,47,TERMINATION_DATE,DATE,YYYYMMDD,8,186668,327,334,,,,,DATE,,
2570,1,1,COMPANY_ID,VARCHAR2,,3,186622,1,3,,,,,VARCHAR2,,
2570,1,2,RECORD_ID,VARCHAR2,,1,186623,4,4,,,,,VARCHAR2,,
2570,1,3,TRANSACTION_CODE,VARCHAR2,,1,186624,5,5,,,,,VARCHAR2,,
2570,1,4,CONTROL_NUMBER,VARCHAR2,,5,186625,6,10,,,,,VARCHAR2,,
2570,1,5,MEMBER_ID,VARCHAR2,,9,186626,11,19,,,,,VARCHAR2,,
2570,1,6,LAST_NAME,VARCHAR2,,18,186627,20,37,,,,,VARCHAR2,,
2570,1,7,FIRST_NAME,VARCHAR2,,15,186628,38,52,,,,,VARCHAR2,,
