LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1764,1,1,document_number,Varchar2,,14,125347,1,14,,,,,VARCHAR2,,
1764,1,2,line_item_number,Number,,6,125348,15,20,,,,,NUMBER,,
1764,1,3,member_id,Varchar2,,12,125349,21,32,,,,,VARCHAR2,,
1764,1,4,age,Number,,8,125350,33,40,,,,,NUMBER,,
1764,1,5,sex,Varchar2,,1,125351,41,41,,,,,VARCHAR2,,
1764,1,6,fin_period_date,Date,MMDDYY,10,125352,42,51,,,,,DATE,,
1764,1,7,Claim_prov_key,Number,,8,125353,52,59,,,,,NUMBER,,
1764,1,8,claim_prov_id,Varchar2,,9,125354,60,68,,,,,VARCHAR2,,
1764,1,9,Beg_Date,Date,MMDDYY,10,125355,69,78,,,,,DATE,,
1764,1,10,paid_amt,Number,,11,125356,79,89,,,,,NUMBER,,
1764,1,11,billed_amt,Number,,11,125357,90,100,,,,,NUMBER,,
1764,1,12,Allowed_amt,Number,,11,125358,101,111,,,,,NUMBER,,
1764,1,13,days_supply,Number,,11,125359,112,122,,,,,NUMBER,,
1764,1,14,dispensing_fee_amt,Number,,11,125360,123,133,,,,,NUMBER,,
1764,1,15,Quantity,Number,,11,125361,134,144,,,,,NUMBER,,
1764,1,16,drug_code,Varchar2,,11,125362,145,155,,,,,VARCHAR2,,
1764,1,17,therapeutic_class,Varchar2,,6,125363,156,161,,,,,VARCHAR2,,
1764,1,18,tc_section_code,Varchar2,,3,125364,162,164,,,,,VARCHAR2,,
1764,1,19,formulary_ind,Varchar2,,1,125365,165,165,,,,,VARCHAR2,,
1764,1,20,Order_prov_key,Number,,8,125366,166,173,,,,,NUMBER,,
1764,1,21,order_prov_id,Varchar2,,8,125367,174,181,,,,,VARCHAR2,,
1764,1,22,generic_code,Varchar2,,5,125368,182,186,,,,,VARCHAR2,,
1764,1,23,generic_ind,Varchar2,,1,125369,187,187,,,,,VARCHAR2,,
1764,1,24,Copay_amt,Number,,11,125370,188,198,,,,,NUMBER,,
1764,1,25,Coinsurance_amt,Number,,11,125371,199,209,,,,,NUMBER,,
1764,1,26,Deductible_amt,Number,,11,125372,210,220,,,,,NUMBER,,
1764,1,27,Claim_provider,Varchar2,,65,125373,221,285,,,,,VARCHAR2,,
1764,1,28,Claim_prov_pod_code,Varchar2,,1,125374,286,286,,,,,VARCHAR2,,
1764,1,29,Claim_prov_pod_name,Varchar2,,50,125375,287,336,,,,,VARCHAR2,,
1764,1,30,Claim_prov_spec_code,Varchar2,,9,125376,337,345,,,,,VARCHAR2,,
1764,1,31,Claim_prov_spec_desc,Varchar2,,47,125377,346,392,,,,,VARCHAR2,,
1764,1,32,Ordering_provider,Varchar2,,65,125378,393,457,,,,,VARCHAR2,,
1764,1,33,Order_prov_pod_code,Varchar2,,1,125379,458,458,,,,,VARCHAR2,,
1764,1,34,Order_prov_pod_name,Varchar2,,50,125380,459,508,,,,,VARCHAR2,,
1764,1,35,Order_prov_spec_code,Varchar2,,9,125381,509,517,,,,,VARCHAR2,,
1764,1,36,Order_prov_spec_desc,Varchar2,,47,125382,518,564,,,,,VARCHAR2,,
1764,1,37,Claim_NPI,Varchar2,,15,125383,565,579,,,,,VARCHAR2,,
1764,1,38,Order_NPI,Varchar2,,15,125384,580,594,,,,,VARCHAR2,,
1764,1,39,First_name,Varchar2,,20,125385,595,614,,,,,VARCHAR2,,
1764,1,40,Last_name,Varchar2,,25,125386,615,639,,,,,VARCHAR2,,
1764,1,41,Social_security_number,Varchar2,,9,125387,640,648,,,,,VARCHAR2,,
