LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3704,1,111,DRUGMFGR,VARCHAR2,,10,289401,881,890,Sweta Shakya,,,,VARCHAR2,,
3704,1,112,GPINUMBER,VARCHAR2,,14,289402,891,904,Sweta Shakya,,,,VARCHAR2,,
3704,1,113,GENERICNME,VARCHAR2,,60,289403,905,964,Sweta Shakya,,,,VARCHAR2,,
3704,1,114,PRDPACUOM,VARCHAR2,,2,289404,965,966,Sweta Shakya,,,,VARCHAR2,,
3704,1,115,PRDPACSIZE,NUMBER,,12,289405,967,978,Sweta Shakya,,,,NUMBER,,
3704,1,116,DDID,VARCHAR2,,6,289406,979,984,Sweta Shakya,,,,VARCHAR2,,
3704,1,117,GCN,VARCHAR2,,5,289407,985,989,Sweta Shakya,,,,VARCHAR2,,
3704,1,118,GCNSEQ,VARCHAR2,,6,289408,990,995,Sweta Shakya,,,,VARCHAR2,,
3704,1,119,KDC,VARCHAR2,,10,289409,996,1005,Sweta Shakya,,,,VARCHAR2,,
3704,1,120,AHFS,VARCHAR2,,8,289410,1006,1013,Sweta Shakya,,,,VARCHAR2,,
3704,1,121,DRUGDEACOD,VARCHAR2,,1,289411,1014,1014,Sweta Shakya,,,,VARCHAR2,,
3704,1,122,RXOTCIND,VARCHAR2,,1,289412,1015,1015,Sweta Shakya,,,,VARCHAR2,,
3704,1,123,MULTSRCCDE,VARCHAR2,,1,289413,1016,1016,Sweta Shakya,,,,VARCHAR2,,
3704,1,124,GENINDOVER,VARCHAR2,,1,289414,1017,1017,Sweta Shakya,,,,VARCHAR2,,
3704,1,125,PRDREIMIND,VARCHAR2,,1,289415,1018,1018,Sweta Shakya,,,,VARCHAR2,,
3704,1,126,BRNDTRDNME,VARCHAR2,,1,289416,1019,1019,Sweta Shakya,,,,VARCHAR2,,
3704,1,127,FDATHERAEQ,VARCHAR2,,2,289417,1020,1021,Sweta Shakya,,,,VARCHAR2,,
3704,1,128,METRICSTRG,NUMBER,,12,289418,1022,1033,Sweta Shakya,,,,NUMBER,,
3704,1,129,DRGSTRGUOM,VARCHAR2,,10,289419,1034,1043,Sweta Shakya,,,,VARCHAR2,,
3704,1,130,ADMINROUTE,VARCHAR2,,2,289420,1044,1045,Sweta Shakya,,,,VARCHAR2,,
3704,1,131,ADMINRTESN,VARCHAR2,,11,289421,1046,1056,Sweta Shakya,,,,VARCHAR2,,
3704,1,132,DOSAGEFORM,VARCHAR2,,4,289422,1057,1060,Sweta Shakya,,,,VARCHAR2,,
3704,1,133,NDA,VARCHAR2,,1,289423,1061,1061,Sweta Shakya,,,,VARCHAR2,,
3704,1,134,ANDA,VARCHAR2,,1,289424,1062,1062,Sweta Shakya,,,,VARCHAR2,,
3704,1,135,ANDAOR,VARCHAR2,,1,289425,1063,1063,Sweta Shakya,,,,VARCHAR2,,
3704,1,136,RXNORMCODE,VARCHAR2,,10,289426,1064,1073,Sweta Shakya,,,,VARCHAR2,,
3704,1,137,MNTDRUGCDE,VARCHAR2,,1,289427,1074,1074,Sweta Shakya,,,,VARCHAR2,,
3704,1,138,MNTSOURCE,VARCHAR2,,1,289428,1075,1075,Sweta Shakya,,,,VARCHAR2,,
3704,1,139,MNTCARPROR,VARCHAR2,,1,289429,1076,1076,Sweta Shakya,,,,VARCHAR2,,
3704,1,140,MNTGPILIST,VARCHAR2,,1,289430,1077,1077,Sweta Shakya,,,,VARCHAR2,,
3704,1,141,CPQSPCPRG,VARCHAR2,,10,289431,1078,1087,Sweta Shakya,,,,VARCHAR2,,
3704,1,142,CPQSPCPGIN,VARCHAR2,,1,289432,1088,1088,Sweta Shakya,,,,VARCHAR2,,
3704,1,143,CPQSPCSCHD,VARCHAR2,,10,289433,1089,1098,Sweta Shakya,,,,VARCHAR2,,
3704,1,144,THRDPARTYX,VARCHAR2,,1,289434,1099,1099,Sweta Shakya,,,,VARCHAR2,,
3704,1,145,DRGUNITDOS,VARCHAR2,,1,289435,1100,1100,Sweta Shakya,,,,VARCHAR2,,
3704,1,146,SBMUNITDOS,VARCHAR2,,1,289436,1101,1101,Sweta Shakya,,,,VARCHAR2,,
3704,1,147,ALTPRODTYP,VARCHAR2,,1,289437,1102,1102,Sweta Shakya,,,,VARCHAR2,,
3704,1,148,ALTPRODCDE,VARCHAR2,,13,289438,1103,1115,Sweta Shakya,,,,VARCHAR2,,
3704,1,149,SRXNETWRK,VARCHAR2,,6,289439,1116,1121,Sweta Shakya,,,,VARCHAR2,,
3704,1,150,SRXNETTYPE,VARCHAR2,,2,289440,1122,1123,Sweta Shakya,,,,VARCHAR2,,
3704,1,151,RXNETWORK,VARCHAR2,,6,289441,1124,1129,Sweta Shakya,,,,VARCHAR2,,
3704,1,152,RXNETWRKNM,VARCHAR2,,25,289442,1130,1154,Sweta Shakya,,,,VARCHAR2,,
