LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
3230,1,1,BUSSTARTDATE,DATE
3230,1,2,BUSENDDATE,DATE
3230,1,3,PS_UNIQUE_ID,VARCHAR2
3230,1,4,CUSTOMER_NBR,VARCHAR2
3230,1,5,GROUP_NBR,VARCHAR2
3230,1,7,SUBGROUP_NBR,VARCHAR2
3230,1,8,ACCOUNT_NBR,VARCHAR2
3230,1,9,FILE_ID,VARCHAR2
3230,1,10,CLM_LN_TYPE_CD,VARCHAR2
3230,1,11,NON_PRFRRD_SRV_CD,VARCHAR2
3230,1,12,PLSP_PROD_CD,VARCHAR2
3230,1,13,PRODUCT_LN_CD,VARCHAR2
3230,1,14,CLASSIFICATION_CD,VARCHAR2
3230,1,15,BNFT_PKG_ID,VARCHAR2
3230,1,16,PLAN_ID,VARCHAR2
3230,1,17,NON_PRFRRD_SRV_CD1,VARCHAR2
3230,1,18,FUND_CTG_CD,VARCHAR2
3230,1,19,SRC_SUBSCRIBER_ID,VARCHAR2
3230,1,20,EMP_LAST_NM,VARCHAR2
3230,1,21,EMP_FIRST_NM,VARCHAR2
3230,1,22,EMP_GENDER_CD,VARCHAR2
3230,1,23,SUBSCRIBER_BRTH_DT,DATE
3230,1,24,SUBS_ZIP_CD,VARCHAR2
3230,1,25,SUBS_ST_POSTAL_CD,VARCHAR2
3230,1,26,COVERAGE_TYPE_CD,VARCHAR2
3230,1,27,MBR_SSN_NBR,VARCHAR2
3230,1,28,MEMBER_ID,VARCHAR2
3230,1,29,SRC_CLM_MBR_ID,VARCHAR2
3230,1,30,MBR_LAST_NM,VARCHAR2
3230,1,31,MBR_FIRST_NM,VARCHAR2
3230,1,32,MBR_GENDER_CD,VARCHAR2
3230,1,33,MBR_RTP_TYPE_CD,VARCHAR2
3230,1,34,MBR_BIRTH_DT,DATE
3230,1,35,TR_SRC_CLM_ID,VARCHAR2
3230,1,36,ACAS_SRC_CLM_ID,VARCHAR2
3230,1,37,PREV_CLM_SEG_ID,VARCHAR2
3230,1,38,DERIVED_TCN_NBR,VARCHAR2
3230,1,39,SRC_CLAIM_LINE_ID,VARCHAR2
3230,1,40,CLAIM_LINE_ID,VARCHAR2
3230,1,41,NTWK_SRV_AREA_ID,VARCHAR2
3230,1,42,PAID_PRVDR_NSA_ID,VARCHAR2
3230,1,43,SRV_CAPACITY_CD,VARCHAR2
3230,1,44,PCP_TAX_ID_FORMAT_CD,VARCHAR2
3230,1,45,PCP_TAX_ID_NBR,VARCHAR2
