LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
2371,1,1,RECORDTYPE,VARCHAR2
2371,1,3,CONTRACTNUMBERPREFIX,VARCHAR2
2371,1,4,CONTRACTNUMBERSUFFIX,VARCHAR2
2371,1,5,GROUPNUMBER,VARCHAR2
2371,1,7,MAJORDIVISION,VARCHAR2
2371,1,9,CONTRACTEFFECTIVEDATE,DATE
2371,1,10,CONTRACTCANCELDATE,DATE
2371,1,11,CONTRACTCANCELREASON,VARCHAR2
2371,1,12,HEALTHTYPECONTRACT,VARCHAR2
2371,1,13,HEALTHVARIATIONCODE,VARCHAR2
2371,1,15,HEALTHTYPECONTRACTCHANGEEFFDT,DATE
2371,1,16,DENTALTYPECONTRACT,VARCHAR2
2371,1,17,DENTALVARIATIONCODE,VARCHAR2
2371,1,19,VISIONTYPECONTRACT,VARCHAR2
2371,1,20,VISIONVARIATIONCODE,VARCHAR2
2371,1,22,MEMBEREFFECTIVEDATE,DATE
2371,1,23,MEMBERCANCELDATE,DATE
2371,1,24,MEMBERREMOVALCODE,VARCHAR2
2371,1,25,MEMBERNUMBER,VARCHAR2
2371,1,26,MEMBERLASTNAME,VARCHAR2
2371,1,27,MEMBERFIRSTNAME,VARCHAR2
2371,1,28,MEMBERMIDDLEINITIAL,VARCHAR2
2371,1,29,MEMBERNAMESUFFIX,VARCHAR2
2371,1,31,MEMBERBIRTHDATE,DATE
2371,1,32,MEMBERSEXRELATION,VARCHAR2
2371,1,33,MEMBERSSN,VARCHAR2
2371,1,35,STUDENTINDICATOR,VARCHAR2
2371,1,36,MEMBERORIGINALEFFECTIVEDATE,DATE
2371,1,38,MEMBERMEDICAREELIGIBLEIND,VARCHAR2
2371,1,39,MEMBERMEDICARENUMBER,VARCHAR2
2371,1,40,MEMBERMEDICARESUFFIX,VARCHAR2
2371,1,42,ADDRESS1,VARCHAR2
2371,1,43,ADDRESS2,VARCHAR2
2371,1,44,CITY,VARCHAR2
2371,1,45,STATE,VARCHAR2
2371,1,46,ZIPCODE,VARCHAR2
2371,1,47,ZIPCODEEXTENSION1,VARCHAR2
2371,1,49,EMPLOYEENUMBER,VARCHAR2
2371,1,51,PAYROLLLOCATION,VARCHAR2
2371,1,52,MINORDIVISION,VARCHAR2
2371,1,53,PAYROLLOFFICE,VARCHAR2
2371,1,54,BENEFITOFFICE,VARCHAR2
2371,1,55,WORKSTATE,VARCHAR2
2371,1,57,COBRAINDICATOR,VARCHAR2
2371,1,58,COBRAEXPIRATIONDATE,DATE
2371,2,1,RECTYPE,VARCHAR2
2371,2,2,TOTALREC,NUMBER
2371,2,3,TOTALEMPREC,NUMBER
2371,2,4,TOTALMEMREC,NUMBER
