LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE
3137,1,1,RX_NBR,VARCHAR2
3137,1,2,CLM_NBR,VARCHAR2
3137,1,3,CLM_ADJSTMNT_KEY,VARCHAR2
3137,1,4,MBR_KEY,VARCHAR2
3137,1,5,RX_FILLED_DT,DATE
3137,1,6,CLM_SOR_CD,VARCHAR2
3137,1,7,SRVC_RNDRG_TYPE_CD,VARCHAR2
3137,1,8,CLM_ADJSTMNT_NBR,VARCHAR2
3137,1,9,CLM_LINE_NBR,VARCHAR2
3137,1,10,CLM_LINE_SRVC_STRT_DT,DATE
3137,1,11,CLM_LINE_SRVC_END_DT,DATE
3137,1,12,CLM_LINE_STTS_CD,VARCHAR2
3137,1,13,PAID_AMT,NUMBER
3137,1,14,CPAY_AMT,NUMBER
3137,1,15,DDCTBL_AMT,NUMBER
3137,1,16,COINSRN_AMT,NUMBER
3137,1,17,DAYS_SPLY_NBR,NUMBER
3137,1,18,BRND_NM,VARCHAR2
3137,1,19,NDC,VARCHAR2
3137,1,20,REFIL_CD,VARCHAR2
3137,1,21,REFILS_AUTHRZD_NBR,NUMBER
3137,1,22,PROV_ID,VARCHAR2
3137,1,23,SPCLTY_CD,VARCHAR2
3137,1,24,MBRSHP_SOR_CD,VARCHAR2
3137,1,25,SRC_MBR_SSN,VARCHAR2
3137,1,26,SRC_SBSCRBR_ID,VARCHAR2
3137,1,27,SRC_HC_ID,VARCHAR2
3137,1,28,SRC_MBR_FRST_NM,VARCHAR2
3137,1,29,SRC_MBR_LAST_NM,VARCHAR2
3137,1,30,SRC_MBR_SQNC_NBR,VARCHAR2
3137,1,31,MBR_RLTNSHP_CD,VARCHAR2
3137,1,32,SRC_MBR_BRTH_DT,DATE
3137,1,33,MBR_GNDR_CD,VARCHAR2
3137,1,34,SRC_GRP_NBR,VARCHAR2
3137,1,35,SRC_SUBGRP_NBR,VARCHAR2
3137,1,36,SRC_MBR_ZIP_CD,VARCHAR2
3137,1,37,SRC_MBR_ZIP_PLUS_4_CD,VARCHAR2
3137,1,38,LOAD_LOG_KEY,VARCHAR2
3137,1,39,UPDTD_LOAD_LOG_KEY,VARCHAR2
3137,1,40,ADJDCTN_STTS_CD,VARCHAR2
3137,1,41,CRCTD_LOAD_LOG_KEY,VARCHAR2
3137,1,42,BILLD_SRVC_UNIT_CNT,NUMBER
3137,1,43,BILLD_CHRG_AMT,NUMBER
3137,1,44,ALWD_AMT,NUMBER
3137,1,45,SRC_PROV_NATL_PROV_ID,VARCHAR2
3137,1,46,CLM_DISP_CD,VARCHAR2
3137,1,47,ADJDCTN_DT,DATE
3137,1,48,LBL_NM,VARCHAR2
3137,1,49,SRC_BILLG_TAX_ID,VARCHAR2
3137,1,50,INN_CD,VARCHAR2
3137,1,51,DSCNT_AMT,NUMBER
3137,1,52,PEX_IND,VARCHAR2
3137,1,53,MAIL_ORDR_CD,VARCHAR2
3137,2,1,RECORD_IDENTIFIER,VARCHAR2
3137,2,2,RECORD_COUNT,VARCHAR2
