LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3447,1,3,CLAIM_NUMBER,VARCHAR2,,12,276098,21,32,,,,,VARCHAR2,,
3447,1,4,CLAIM_SEQUENCE_NUMBER,VARCHAR2,,2,276099,33,34,,,,,VARCHAR2,,
3447,1,5,PROVIDER_TAX_ID,VARCHAR2,,10,276100,35,44,,,,,VARCHAR2,,
3447,1,6,PROVIDER_NAME,VARCHAR2,,30,276101,45,74,,,,,VARCHAR2,,
3447,1,7,MEDICAL_HOSPITAL,VARCHAR2,,1,276102,75,75,,,,,VARCHAR2,,
3447,1,8,CLAIM_TYPE,VARCHAR2,,4,276103,76,79,,,,,VARCHAR2,,
3447,1,9,IN_NETWORK_OUT_OF_NETWORK,VARCHAR2,,1,276104,80,80,,,,,VARCHAR2,,
3447,1,10,PROVIDER_TYPE,VARCHAR2,,4,276105,81,84,,,,,VARCHAR2,,
3447,1,11,SPECIALTY_CODE,VARCHAR2,,4,276106,85,88,,,,,VARCHAR2,,
3447,1,12,PROCEDURECODE_MODIFIER,VARCHAR2,,7,276107,89,95,,,,,VARCHAR2,,
3447,1,13,REVENUE_CODE,VARCHAR2,,4,276108,96,99,,,,,VARCHAR2,,
3447,1,14,SERVICE_UNITS,NUMBER,,4,276109,100,103,,,,,NUMBER,,
3447,1,15,DRG,VARCHAR2,,4,276110,104,107,,,,,VARCHAR2,,
3447,1,16,DIAGNOSIS_CODE_1,VARCHAR2,,5,276111,108,112,,,,,VARCHAR2,,
3447,1,17,DIAGNOSIS_CODE_2,VARCHAR2,,5,276112,113,117,,,,,VARCHAR2,,
3447,1,18,DIAGNOSIS_CODE_3,VARCHAR2,,5,276113,118,122,,,,,VARCHAR2,,
3447,1,19,DIAGNOSIS_CODE_4,VARCHAR2,,5,276114,123,127,,,,,VARCHAR2,,
3447,1,20,DIAGNOSIS_CODE_5,VARCHAR2,,5,276115,128,132,,,,,VARCHAR2,,
3447,1,21,ADMISSIONDATE,DATE,YYYYMMDD,8,276116,133,140,,,,,DATE,,
3447,1,22,DISCHARGE_DATE,DATE,YYYYMMDD,8,276117,141,148,,,,,DATE,,
3447,1,23,FIRST_SERVICE_DATE,DATE,YYYYMMDD,8,276118,149,156,,,,,DATE,,
3447,1,24,LAST_SERVICE_DATE,DATE,YYYYMMDD,8,276119,157,164,,,,,DATE,,
3447,1,25,SIGN1,VARCHAR2,,1,276120,165,165,,,,,VARCHAR2,,
3447,1,26,BILLED_CHARGES,NUMBER,,8,276121,166,173,,,,,NUMBER,,
3447,1,27,SIGN2,VARCHAR2,,1,276122,174,174,,,,,VARCHAR2,,
3447,1,28,ALLOWED_AMOUNT,NUMBER,,8,276123,175,182,,,,,NUMBER,,
3447,1,29,SIGN3,VARCHAR2,,1,276124,183,183,,,,,VARCHAR2,,
3447,1,30,PAID_AMOUNT,NUMBER,,8,276125,184,191,,,,,NUMBER,,
3447,1,31,PAID_DATE,DATE,YYYYMMDD,8,276126,192,199,,,,,DATE,,
3447,1,32,PLACE_OF_SERVICE,VARCHAR2,,2,276127,200,201,,,,,VARCHAR2,,
3447,1,33,SIGN4,VARCHAR2,,1,276128,202,202,,,,,VARCHAR2,,
3447,1,34,DISALLOWED_AMOUNT,NUMBER,,8,276129,203,210,,,,,NUMBER,,
3447,1,35,DISALLOWED_CODE,VARCHAR2,,3,276130,211,213,,,,,VARCHAR2,,
3447,1,36,BILL_TYPE,VARCHAR2,,1,276131,214,214,,,,,VARCHAR2,,
3447,1,37,BILL_CLASS,VARCHAR2,,1,276132,215,215,,,,,VARCHAR2,,
3447,1,38,BILL_FREQUENCY,VARCHAR2,,1,276133,216,216,,,,,VARCHAR2,,
3447,1,39,REPORTING_FUND,NUMBER,,2,276134,217,218,,,,,NUMBER,,
3447,1,40,REPORTING_CATEGORY,VARCHAR2,,1,276135,219,219,,,,,VARCHAR2,,
3447,1,41,STATUS,VARCHAR2,,2,276136,220,221,,,,,VARCHAR2,,
3447,1,42,SUBGROUP,VARCHAR2,,4,276137,222,225,,,,,VARCHAR2,,
3447,1,43,CLASS,VARCHAR2,,4,276138,226,229,,,,,VARCHAR2,,
3447,1,44,PATIENT_DATE_OF_BIRTH,DATE,YYYYMMDD,8,276139,230,237,,,,,DATE,,
3447,1,45,PATIENT_SEX,VARCHAR2,,1,276140,238,238,,,,,VARCHAR2,,
3447,1,46,PATIENT_RELATIONSHIP,VARCHAR2,,1,276141,239,239,,,,,VARCHAR2,,
3447,1,47,PROVIDER_ZIP_CODE,VARCHAR2,,9,276142,240,248,,,,,VARCHAR2,,
3447,1,48,DISCHARGE_STATUS,VARCHAR2,,2,276143,249,250,,,,,VARCHAR2,,
3447,1,49,SIGN5,VARCHAR2,,1,276144,251,251,,,,,VARCHAR2,,
3447,1,50,DEDUCTIBLE_AMOUNT,NUMBER,,8,276145,252,259,,,,,NUMBER,,
3447,1,51,SIGN6,VARCHAR2,,1,276146,260,260,,,,,VARCHAR2,,
3447,1,52,COINSURANCE_AMOUNT,NUMBER,,8,276147,261,268,,,,,NUMBER,,
3447,1,53,SIGN7,VARCHAR2,,1,276148,269,269,,,,,VARCHAR2,,
3447,1,54,COPAY_AMOUNT,NUMBER,,8,276149,270,277,,,,,NUMBER,,
3447,1,55,COB_INDICATOR,VARCHAR2,,1,276150,278,278,,,,,VARCHAR2,,
3447,1,56,SIGN8,VARCHAR2,,1,276151,279,279,,,,,VARCHAR2,,
3447,1,57,COB_AMOUNT,NUMBER,,8,276152,280,287,,,,,NUMBER,,
3447,1,58,SIGN9,VARCHAR2,,1,276153,288,288,,,,,VARCHAR2,,
3447,1,59,DISCOUNT_AMOUNT,NUMBER,,8,276154,289,296,,,,,NUMBER,,
3447,1,60,LINE_OF_BUSINESS,VARCHAR2,,4,276155,297,300,,,,,VARCHAR2,,
3447,1,61,ICD_VERSION,VARCHAR2,,1,276156,301,301,,,,,VARCHAR2,,
3447,1,1,EMPLOYEE_SOCIAL_SECURITY_NBR,VARCHAR2,,9,276096,1,9,,,,,VARCHAR2,,
3447,1,2,MEMBER_NUMBER,VARCHAR2,,11,276097,10,20,,,,,VARCHAR2,,
