LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
1061,1,1,SBSCRBR_ID,VARCHAR2,,50,75806,1,50,,,,,VARCHAR2,,7
1061,1,2,MBR_SQNC_NBR,VARCHAR2,,50,75807,51,100,,,,,VARCHAR2,,11
1061,1,3,MBR_BRTH_DT,DATE,YYYYMMDD,10,75808,101,110,,,,,DATE,,3
1061,1,4,MBR_GNDR_CD,VARCHAR2,,50,75809,111,160,,,,,VARCHAR2,,8
1061,1,5,MBR_REL_CD,VARCHAR2,,50,75810,161,210,,,,,VARCHAR2,,17
1061,1,6,EMP_ZIP_CD,VARCHAR2,,50,75811,211,260,,,,,VARCHAR2,,
1061,1,7,MBR_EFCTV_DT,DATE,YYYYMMDD,10,75812,261,270,,,,,DATE,,4
1061,1,8,MBR_TERM_DT,DATE,YYYYMMDD,10,75813,271,280,,,,,DATE,,19
1061,1,9,PROD_ID,VARCHAR2,,50,75814,281,330,,,,,VARCHAR2,,
1061,1,10,ACCT_NBR,VARCHAR2,,80,75815,331,410,,,,,VARCHAR2,,
1061,1,11,SUBGRP_NBR,VARCHAR2,,80,75816,411,490,,,,,VARCHAR2,,
1061,1,12,DEPT_NBR,VARCHAR2,,50,75817,491,540,,,,,VARCHAR2,,
1061,1,13,HLTH_CLASS_COV_CD,VARCHAR2,,50,75818,541,590,,,,,VARCHAR2,,
1061,1,14,PKG_NBR,VARCHAR2,,50,75819,591,640,,,,,VARCHAR2,,
1061,1,15,EMP_CNTRCT_TYPE,VARCHAR2,,50,75820,641,690,,,,,VARCHAR2,,
1061,1,16,MBR_FIRST_NM,VARCHAR2,,50,75821,691,740,,,,,VARCHAR2,,10
1061,1,17,MBR_MD_NM,VARCHAR2,,50,75822,741,790,,,,,VARCHAR2,,
1061,1,18,MBR_LAST_NM,VARCHAR2,,50,75823,791,840,,,,,VARCHAR2,,12
1061,1,19,MBR_ADDR_LINE1,VARCHAR2,,100,75824,841,940,,,,,VARCHAR2,,
1061,1,20,MBR_ADDR_LINE2,VARCHAR2,,100,75825,941,1040,,,,,VARCHAR2,,
1061,1,21,MBR_CITY,VARCHAR2,,50,75826,1041,1090,,,,,VARCHAR2,,
1061,1,22,ST_PRVNC_CD,VARCHAR2,,50,75827,1091,1140,,,,,VARCHAR2,,
1061,1,23,MBR_ZIP_CD,VARCHAR2,,50,75828,1141,1190,,,,,VARCHAR2,,
1061,1,24,MBR_SSN,VARCHAR2,,50,75829,1191,1240,,,,,VARCHAR2,,
1061,1,25,HCID,VARCHAR2,,50,75830,1241,1290,,,,,VARCHAR2,,
