LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3421,1,1,MEM_ID,VARCHAR2,,150,274295,1,150,,,,,VARCHAR2,,
3421,1,2,ENR_ID,VARCHAR2,,150,274296,151,300,,,,,VARCHAR2,,
3421,1,3,REL_FLAG,VARCHAR2,,150,274297,301,450,,,,,VARCHAR2,,
3421,1,4,MEM_FIRST_NAME,VARCHAR2,,150,274298,451,600,,,,,VARCHAR2,,
3421,1,5,MEM_LAST_NAME,VARCHAR2,,150,274299,601,750,,,,,VARCHAR2,,
3421,1,6,GENDER,VARCHAR2,,150,274300,751,900,,,,,VARCHAR2,,
3421,1,7,DOB,DATE,MM/DD/YYYY,150,274301,901,1050,,,,,DATE,,
3421,1,8,ADDR_1,VARCHAR2,,150,274302,1051,1200,,,,,VARCHAR2,,
3421,1,9,ADDR_2,VARCHAR2,,150,274303,1201,1350,,,,,VARCHAR2,,
3421,1,10,CITY,VARCHAR2,,150,274304,1351,1500,,,,,VARCHAR2,,
3421,1,11,STATE,VARCHAR2,,150,274305,1501,1650,,,,,VARCHAR2,,
3421,1,12,ZIP,VARCHAR2,,150,274306,1651,1800,,,,,VARCHAR2,,
3421,1,13,HOME_PHONE,VARCHAR2,,150,274307,1801,1950,,,,,VARCHAR2,,
3421,1,14,WORK_PHONE,VARCHAR2,,150,274308,1951,2100,,,,,VARCHAR2,,
3421,1,15,COV_TYPE_ID,VARCHAR2,,150,274309,2101,2250,,,,,VARCHAR2,,
3421,1,16,COV_TYPE_DESC,VARCHAR2,,150,274310,2251,2400,,,,,VARCHAR2,,
3421,1,17,EFF_DATE,DATE,MM/DD/YYYY,150,274311,2401,2550,,,,,DATE,,
3421,1,18,TERM_DATE,DATE,MM/DD/YYYY,150,274312,2551,2700,,,,,DATE,,
3421,1,19,MONTH_1,VARCHAR2,,150,274313,2701,2850,,,,,VARCHAR2,,
3421,1,20,CM_STATUS,VARCHAR2,,150,274314,2851,3000,,,,,VARCHAR2,,
3421,1,21,PCP_ID,VARCHAR2,,150,274315,3001,3150,,,,,VARCHAR2,,
3421,1,22,PCP_NAME_1,VARCHAR2,,150,274316,3151,3300,,,,,VARCHAR2,,
3421,1,23,STATUS,VARCHAR2,,150,274317,3301,3450,,,,,VARCHAR2,,
3421,1,24,PLAN_TYPE,VARCHAR2,,150,274318,3451,3600,,,,,VARCHAR2,,
3421,1,25,PLAN_NAME,VARCHAR2,,150,274319,3601,3750,,,,,VARCHAR2,,
3421,1,26,EMPLOYER_GROUP,VARCHAR2,,150,274320,3751,3900,,,,,VARCHAR2,,
3421,1,27,ATTRIB_TIN,VARCHAR2,,150,274321,3901,4050,,,,,VARCHAR2,,
3421,1,28,ATTRIB_NPI,VARCHAR2,,150,274322,4051,4200,,,,,VARCHAR2,,
3421,1,29,PCP_NAME_2,VARCHAR2,,150,274323,4201,4350,,,,,VARCHAR2,,
3421,1,30,FACILITY_NAME,VARCHAR2,,150,274324,4351,4500,,,,,VARCHAR2,,
3421,1,31,CATEGORY,VARCHAR2,,150,274325,4501,4650,,,,,VARCHAR2,,
