LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
3467,1,1,SUB_SSN,VARCHAR2,,150,277345,1,150,Sweta Shakya,,,,VARCHAR2,,
3467,1,2,MBR_SQNC_NBR,VARCHAR2,,150,277346,151,300,Sweta Shakya,,,,VARCHAR2,,
3467,1,3,MBR_BRTH_DT,DATE,YYYYMMDD,8,277347,301,308,Sweta Shakya,,,,DATE,,
3467,1,4,MBR_GNDR_CD,VARCHAR2,,150,277348,309,458,Sweta Shakya,,,,VARCHAR2,,
3467,1,5,MBR_REL_CD,VARCHAR2,,150,277349,459,608,Sweta Shakya,,,,VARCHAR2,,
3467,1,6,CLM_TYP_CD,VARCHAR2,,150,277350,609,758,Sweta Shakya,,,,VARCHAR2,,
3467,1,7,CLM_NBR,VARCHAR2,,150,277351,759,908,Sweta Shakya,,,,VARCHAR2,,
3467,1,8,ACCT_NBR,VARCHAR2,,150,277352,909,1058,Sweta Shakya,,,,VARCHAR2,,
3467,1,9,SUBGRP_NBR,VARCHAR2,,150,277353,1059,1208,Sweta Shakya,,,,VARCHAR2,,
3467,1,10,DEPT_NBR,VARCHAR2,,150,277354,1209,1358,Sweta Shakya,,,,VARCHAR2,,
3467,1,11,PROD_ID,VARCHAR2,,150,277355,1359,1508,Sweta Shakya,,,,VARCHAR2,,
3467,1,12,PAID_DT,DATE,YYYYMMDD,8,277356,1509,1516,Sweta Shakya,,,,DATE,,
3467,1,13,PAID_AMT,NUMBER,,150,277357,1517,1666,Sweta Shakya,,,,NUMBER,,
3467,1,14,CPAY_AMT,NUMBER,,150,277358,1667,1816,Sweta Shakya,,,,NUMBER,,
3467,1,15,DDCTBL_AMT,NUMBER,,150,277359,1817,1966,Sweta Shakya,,,,NUMBER,,
3467,1,16,COINSRN_AMT,NUMBER,,150,277360,1967,2116,Sweta Shakya,,,,NUMBER,,
3467,1,17,MCDR_IND,VARCHAR2,,150,277361,2117,2266,Sweta Shakya,,,,VARCHAR2,,
3467,1,18,PKG_NBR,VARCHAR2,,150,277362,2267,2416,Sweta Shakya,,,,VARCHAR2,,
3467,1,19,PRSC_PROV_DEA_NO,VARCHAR2,,150,277363,2417,2566,Sweta Shakya,,,,VARCHAR2,,
3467,1,20,BILL_PROV_ZIP_CD,VARCHAR2,,150,277364,2567,2716,Sweta Shakya,,,,VARCHAR2,,
3467,1,21,PERSON_ID,VARCHAR2,,150,277365,2717,2866,Sweta Shakya,,,,VARCHAR2,,
3467,1,22,EMP_ZIP_CD,VARCHAR2,,150,277366,2867,3016,Sweta Shakya,,,,VARCHAR2,,
3467,1,23,PHARM_NBR,VARCHAR2,,150,277367,3017,3166,Sweta Shakya,,,,VARCHAR2,,
3467,1,24,RX_FILL_DT,DATE,YYYYMMDD,8,277368,3167,3174,Sweta Shakya,,,,DATE,,
3467,1,25,DAYS_SPLY_NBR,NUMBER,,150,277369,3175,3324,Sweta Shakya,,,,NUMBER,,
3467,1,26,NDC_CD,VARCHAR2,,150,277370,3325,3474,Sweta Shakya,,,,VARCHAR2,,
3467,1,27,MAIL_ORDR_CD,VARCHAR2,,150,277371,3475,3624,Sweta Shakya,,,,VARCHAR2,,
3467,1,28,BRND_GNRC_CD,VARCHAR2,,150,277372,3625,3774,Sweta Shakya,,,,VARCHAR2,,
3467,1,29,DAW_CD,VARCHAR2,,150,277373,3775,3924,Sweta Shakya,,,,VARCHAR2,,
3467,1,30,REFIL_CD,VARCHAR2,,150,277374,3925,4074,Sweta Shakya,,,,VARCHAR2,,
3467,1,31,INGRED_COST_AMT,NUMBER,,150,277375,4075,4224,Sweta Shakya,,,,NUMBER,,
3467,1,32,DSPNSG_FEE_AMT,NUMBER,,150,277376,4225,4374,Sweta Shakya,,,,NUMBER,,
3467,1,33,SALES_TAX_AMT,NUMBER,,150,277377,4375,4524,Sweta Shakya,,,,NUMBER,,
3467,1,34,FRMLRY_CD,VARCHAR2,,150,277378,4525,4674,Sweta Shakya,,,,VARCHAR2,,
3467,1,35,SCRIPT_NO,VARCHAR2,,150,277379,4675,4824,Sweta Shakya,,,,VARCHAR2,,
3467,1,36,QTY_DISP,NUMBER,,150,277380,4825,4974,Sweta Shakya,,,,NUMBER,,
3467,1,37,ST_SURCHARGE_AMT,NUMBER,,150,277381,4975,5124,Sweta Shakya,,,,NUMBER,,
3467,1,38,MBR_FIRST_NM,VARCHAR2,,150,277382,5125,5274,Sweta Shakya,,,,VARCHAR2,,
3467,1,39,MBR_LAST_NM,VARCHAR2,,150,277383,5275,5424,Sweta Shakya,,,,VARCHAR2,,
3467,1,40,PHARM_NM,VARCHAR2,,150,277384,5425,5574,Sweta Shakya,,,,VARCHAR2,,
3467,1,41,PRSC_NPI,VARCHAR2,,150,277385,5575,5724,Sweta Shakya,,,,VARCHAR2,,
