LAYOUTID,SUBLAYOUTID,COLUMNID,COLUMNNAME,DATATYPE,DATETYPEDETIAL,FIELDLENGTH,SN,STARTPOS,ENDPOS,UPDATED_BY,FIELDLINENUMBER,FIELDDELIMITER,FIELDPOSITION,CATEGORY,BUSINESSNAME,SEMANTICKEY
57,1,1,RX_NBR,VARCHAR2,,32,2124,1,32,,,,,VARCHAR2,,
57,1,2,CLM_NBR,VARCHAR2,,24,2125,33,56,,,,,VARCHAR2,,
57,1,3,CLM_ADJSTMNT_KEY,VARCHAR2,,32,2126,57,88,,,,,VARCHAR2,,
57,1,4,MBR_KEY,VARCHAR2,,70,2127,89,158,,,,,VARCHAR2,,
57,1,5,RX_FILLED_DT,DATE,YYYY/MM/DD,10,2128,159,168,,,,,DATE,,
57,1,6,CLM_SOR_CD,VARCHAR2,,10,2129,169,178,,,,,VARCHAR2,,
57,1,7,SRVC_RNDRG_TYPE_CD,VARCHAR2,,10,2130,179,188,,,,,VARCHAR2,,
57,1,8,CLM_ADJSTMNT_NBR,VARCHAR2,,7,2131,189,195,,,,,VARCHAR2,,
57,1,9,CLM_LINE_NBR,VARCHAR2,,5,2132,196,200,,,,,VARCHAR2,,
57,1,10,CLM_LINE_SRVC_STRT_DT,DATE,YYYY/MM/DD,10,2133,201,210,,,,,DATE,,
57,1,11,CLM_LINE_SRVC_END_DT,DATE,YYYY/MM/DD,10,2134,211,220,,,,,DATE,,
57,1,12,CLM_LINE_STTS_CD,VARCHAR2,,5,2135,221,225,,,,,VARCHAR2,,
57,1,13,PAID_AMT,NUMBER,,20,2136,226,245,,,,,NUMBER,,
57,1,14,CPAY_AMT,NUMBER,,20,2137,246,265,,,,,NUMBER,,
57,1,15,DDCTBL_AMT,NUMBER,,20,2138,266,285,,,,,NUMBER,,
57,1,16,COINSRN_AMT,NUMBER,,20,2139,286,305,,,,,NUMBER,,
57,1,17,DAYS_SPLY_NBR,NUMBER,,7,2140,306,312,,,,,NUMBER,,
57,1,18,BRND_NM,VARCHAR2,,60,2141,313,372,,,,,VARCHAR2,,
57,1,19,NDC,VARCHAR2,,11,2142,373,383,,,,,VARCHAR2,,
57,1,20,REFIL_CD,VARCHAR2,,5,2143,384,388,,,,,VARCHAR2,,
57,1,21,REFILS_AUTHRZD_NBR,NUMBER,,7,2144,389,395,,,,,NUMBER,,
57,1,22,PROV_ID,VARCHAR2,,16,2145,396,411,,,,,VARCHAR2,,
57,1,23,SPCLTY_CD,VARCHAR2,,3,2146,412,414,,,,,VARCHAR2,,
57,1,24,MBRSHP_SOR_CD,VARCHAR2,,10,2147,415,424,,,,,VARCHAR2,,
57,1,25,SRC_MBR_SSN,VARCHAR2,,9,2148,425,433,,,,,VARCHAR2,,
57,1,26,SRC_SBSCRBR_ID,VARCHAR2,,15,2149,434,448,,,,,VARCHAR2,,
57,1,27,SRC_HC_ID,VARCHAR2,,20,2150,449,468,,,,,VARCHAR2,,
57,1,28,SRC_MBR_FRST_NM,VARCHAR2,,50,2151,469,518,,,,,VARCHAR2,,
57,1,29,SRC_MBR_LAST_NM,VARCHAR2,,50,2152,519,568,,,,,VARCHAR2,,
57,1,30,SRC_MBR_SQNC_NBR,VARCHAR2,,15,2153,569,583,,,,,VARCHAR2,,
57,1,31,MBR_RLTNSHP_CD,VARCHAR2,,5,2154,584,588,,,,,VARCHAR2,,
57,1,32,SRC_MBR_BRTH_DT,DATE,YYYY/MM/DD,10,2155,589,598,,,,,DATE,,
57,1,33,MBR_GNDR_CD,VARCHAR2,,5,2156,599,603,,,,,VARCHAR2,,
57,1,34,SRC_GRP_NBR,VARCHAR2,,15,2157,604,618,,,,,VARCHAR2,,
57,1,35,SRC_SUBGRP_NBR,VARCHAR2,,15,2158,619,633,,,,,VARCHAR2,,
57,1,36,SRC_MBR_ZIP_CD,VARCHAR2,,6,2159,634,639,,,,,VARCHAR2,,
57,1,37,SRC_MBR_ZIP_PLUS_4_CD,VARCHAR2,,4,2160,640,643,,,,,VARCHAR2,,
57,1,38,LOAD_LOG_KEY,VARCHAR2,,19,2161,644,662,,,,,VARCHAR2,,
57,1,39,UPDTD_LOAD_LOG_KEY,VARCHAR2,,19,2162,663,681,,,,,VARCHAR2,,
57,1,40,ADJDCTN_STTS_CD,VARCHAR2,,18,2163,682,699,,,,,VARCHAR2,,
57,1,41,CRCTD_LOAD_LOG_KEY,VARCHAR2,,19,2164,700,718,,,,,VARCHAR2,,
57,1,42,BILLD_SRVC_UNIT_CNT,NUMBER,,20,2165,719,738,,,,,NUMBER,,
57,1,43,BILLD_CHRG_AMT,NUMBER,,20,2166,739,758,,,,,NUMBER,,
57,1,44,ALWD_AMT,NUMBER,,20,2167,759,778,,,,,NUMBER,,
57,1,45,SRC_PROV_NATL_PROV_ID,VARCHAR2,,16,2168,779,794,,,,,VARCHAR2,,
57,1,46,CLM_DISP_CD,VARCHAR2,,5,2169,795,799,,,,,VARCHAR2,,
57,1,47,ADJDCTN_DT,DATE,YYYY/MM/DD,10,2170,800,809,,,,,DATE,,
57,1,48,LBL_NM,VARCHAR2,,100,2171,810,909,,,,,VARCHAR2,,
57,1,49,SRC_BILLG_TAX_ID,VARCHAR2,,15,2172,910,924,,,,,VARCHAR2,,
57,1,50,INN_CD,VARCHAR2,,5,2173,925,929,,,,,VARCHAR2,,
57,1,51,DSCNT_AMT,NUMBER,,20,2174,930,949,,,,,NUMBER,,
57,1,52,PEX_IND,VARCHAR2,,3,2175,950,952,,,,,VARCHAR2,,
57,2,1,RECORD_IDENTIFIER,VARCHAR2,,3,161243,1,3,,,,,VARCHAR2,,
57,2,2,RECORD_COUNT,VARCHAR2,,10,161244,4,13,,,,,VARCHAR2,,
